Date,BitCoin,Gold,Flag,Delta_BitCoin,Delta_Gold
09-11-2016,621.65,0.0,1,621.65,0.0
09-12-2016,609.67,1324.6,1,-11.980000000000018,1324.6
09-13-2016,610.92,1323.65,1,1.25,-0.9499999999998181
09-14-2016,608.82,1321.75,1,-2.099999999999909,-1.900000000000091
09-15-2016,610.38,1310.8,1,1.5599999999999454,-10.950000000000045
09-16-2016,609.11,1308.35,1,-1.2699999999999818,-2.4500000000000455
09-17-2016,607.04,1308.35,0,-2.07000000000005,0.0
09-18-2016,611.58,1308.35,0,4.540000000000077,0.0
09-19-2016,610.19,1314.85,1,-1.3899999999999864,6.5
09-20-2016,608.66,1313.8,1,-1.5300000000000864,-1.0499999999999545
09-21-2016,598.88,1326.1,1,-9.779999999999973,12.299999999999955
09-22-2016,597.42,1339.1,1,-1.4600000000000364,13.0
09-23-2016,594.08,1338.65,1,-3.339999999999918,-0.4499999999998181
09-24-2016,603.88,1338.65,0,9.799999999999955,0.0
09-25-2016,601.74,1338.65,0,-2.1399999999999864,0.0
09-26-2016,598.98,1340.5,1,-2.759999999999991,1.849999999999909
09-27-2016,605.96,1327.0,1,6.980000000000018,-13.5
09-28-2016,605.67,1322.5,1,-0.2900000000000773,-4.5
09-29-2016,603.85,1318.1,1,-1.8199999999999363,-4.400000000000091
09-30-2016,609.39,1322.5,1,5.539999999999964,4.400000000000091
10-01-2016,614.82,1322.5,0,5.430000000000064,0.0
10-02-2016,612.98,1322.5,0,-1.8400000000000318,0.0
10-03-2016,611.85,1313.3,1,-1.1299999999999955,-9.200000000000045
10-04-2016,609.62,1283.3,1,-2.230000000000018,-30.0
10-05-2016,607.18,1269.4,1,-2.4400000000000546,-13.899999999999864
10-06-2016,612.08,1254.5,1,4.900000000000091,-14.900000000000091
10-07-2016,617.21,1258.75,1,5.1299999999999955,4.25
10-08-2016,614.74,1258.75,0,-2.4700000000000273,0.0
10-09-2016,615.65,1258.75,0,0.9099999999999682,0.0
10-10-2016,617.54,1259.5,1,1.8899999999999864,0.75
10-11-2016,614.77,1253.45,1,-2.769999999999982,-6.0499999999999545
10-12-2016,635.01,1256.5,1,20.24000000000001,3.0499999999999545
10-13-2016,635.96,1261.05,1,0.9500000000000455,4.5499999999999545
10-14-2016,634.02,1251.75,1,-1.9400000000000546,-9.299999999999955
10-15-2016,637.94,1251.75,0,3.9200000000000728,0.0
10-16-2016,641.42,1251.75,0,3.4799999999999045,0.0
10-17-2016,638.97,1254.8,1,-2.449999999999932,3.0499999999999545
10-18-2016,636.29,1258.2,1,-2.6800000000000637,3.400000000000091
10-19-2016,629.25,1269.05,1,-7.039999999999964,10.849999999999909
10-20-2016,627.72,1271.65,1,-1.5299999999999727,2.6000000000001364
10-21-2016,631.92,1266.05,1,4.199999999999932,-5.600000000000136
10-22-2016,655.48,1266.05,0,23.56000000000006,0.0
10-23-2016,653.25,1266.05,0,-2.230000000000018,0.0
10-24-2016,651.39,1265.55,1,-1.8600000000000136,-0.5
10-25-2016,655.31,1269.4,1,3.919999999999959,3.8500000000001364
10-26-2016,651.45,1270.5,1,-3.8599999999999,1.099999999999909
10-27-2016,682.22,1266.25,1,30.769999999999982,-4.25
10-28-2016,687.68,1273.0,1,5.459999999999923,6.75
10-29-2016,685.91,1273.0,0,-1.7699999999999818,0.0
10-30-2016,698.0,1273.0,0,12.090000000000032,0.0
10-31-2016,702.0,1272.0,1,4.0,-1.0
11-01-2016,697.01,1288.45,1,-4.990000000000009,16.450000000000045
11-02-2016,733.33,1303.75,1,36.32000000000005,15.299999999999955
11-03-2016,686.17,1301.0,1,-47.16000000000008,-2.75
11-04-2016,683.69,1302.8,1,-2.4799999999999045,1.7999999999999545
